,id,kingdom,phylum,class,order,family,genus,species,filename
0,699721,1,1,1,1,1,1,1,/mnt/research/xprize/plant-training-data/plants_photos/original/699721_original.jpg
1,699722,1,1,1,1,1,1,1,/mnt/research/xprize/plant-training-data/plants_photos/original/699722_original.jpg
2,699723,1,1,1,1,1,1,1,/mnt/research/xprize/plant-training-data/plants_photos/original/699723_original.jpg
3,699724,1,1,1,1,1,1,1,/mnt/research/xprize/plant-training-data/plants_photos/original/699724_original.jpg
4,699725,1,1,1,2,2,2,2,/mnt/research/xprize/plant-training-data/plants_photos/original/699725_original.jpg
5,699729,1,1,2,3,3,3,3,/mnt/research/xprize/plant-training-data/plants_photos/original/699729_original.jpg
6,699730,1,1,2,3,4,4,4,/mnt/research/xprize/plant-training-data/plants_photos/original/699730_original.jpg
7,699732,1,1,2,3,3,3,3,/mnt/research/xprize/plant-training-data/plants_photos/original/699732_original.jpg
8,699733,1,1,2,3,4,4,4,/mnt/research/xprize/plant-training-data/plants_photos/original/699733_original.jpg
9,699734,1,1,1,4,5,5,5,/mnt/research/xprize/plant-training-data/plants_photos/original/699734_original.jpg
10,699735,1,1,1,4,5,5,5,/mnt/research/xprize/plant-training-data/plants_photos/original/699735_original.jpg
11,699736,1,1,1,1,1,6,6,/mnt/research/xprize/plant-training-data/plants_photos/original/699736_original.jpg
12,699737,1,1,1,1,1,6,6,/mnt/research/xprize/plant-training-data/plants_photos/original/699737_original.jpg
13,699739,1,1,1,1,1,7,7,/mnt/research/xprize/plant-training-data/plants_photos/original/699739_original.jpg
14,699740,1,1,1,1,1,7,7,/mnt/research/xprize/plant-training-data/plants_photos/original/699740_original.jpg
15,699741,1,1,1,1,1,7,7,/mnt/research/xprize/plant-training-data/plants_photos/original/699741_original.jpg
16,699742,1,1,1,1,1,7,7,/mnt/research/xprize/plant-training-data/plants_photos/original/699742_original.jpg
17,699743,1,1,1,1,1,7,7,/mnt/research/xprize/plant-training-data/plants_photos/original/699743_original.jpg
18,699744,1,1,1,2,2,8,8,/mnt/research/xprize/plant-training-data/plants_photos/original/699744_original.jpg
19,699745,1,1,1,2,2,8,8,/mnt/research/xprize/plant-training-data/plants_photos/original/699745_original.jpg
20,699746,1,1,1,2,2,8,8,/mnt/research/xprize/plant-training-data/plants_photos/original/699746_original.jpg
21,699747,1,1,1,5,6,9,9,/mnt/research/xprize/plant-training-data/plants_photos/original/699747_original.jpg
22,699748,1,1,1,5,6,9,9,/mnt/research/xprize/plant-training-data/plants_photos/original/699748_original.jpg
23,699749,1,1,1,5,6,9,9,/mnt/research/xprize/plant-training-data/plants_photos/original/699749_original.jpg
24,699751,1,1,1,5,6,9,9,/mnt/research/xprize/plant-training-data/plants_photos/original/699751_original.jpg
25,699752,1,1,1,5,6,9,9,/mnt/research/xprize/plant-training-data/plants_photos/original/699752_original.jpg
26,699758,1,1,1,5,7,10,10,/mnt/research/xprize/plant-training-data/plants_photos/original/699758_original.jpg
27,699760,1,1,1,5,7,10,10,/mnt/research/xprize/plant-training-data/plants_photos/original/699760_original.jpg
28,699764,1,1,1,5,7,11,11,/mnt/research/xprize/plant-training-data/plants_photos/original/699764_original.jpg
29,699765,1,1,1,5,7,11,11,/mnt/research/xprize/plant-training-data/plants_photos/original/699765_original.jpg
30,699766,1,1,1,5,7,11,11,/mnt/research/xprize/plant-training-data/plants_photos/original/699766_original.jpg
31,699774,1,1,1,2,2,8,8,/mnt/research/xprize/plant-training-data/plants_photos/original/699774_original.jpg
