taxon_level	taxon_name	taxon_label
genus	Scaevola	248
genus	Prunus	620
genus	Couroupita	832
genus	Heliotropium	314
genus	Datura	407
genus	Spathodea	198
genus	Leucaena	171
genus	Tillandsia	906
genus	Asclepias	327
genus	Cardamine	820
genus	Heuchera	862
genus	Typha	271
genus	Chrysophyllum	323
genus	Zea	741
genus	Antirrhinum	868
genus	Iris	184
genus	Callicarpa	443
genus	Anthurium	870
genus	Mangifera	295
genus	Geranium	867
genus	Ziziphus	391
genus	Acacia	52
genus	Hibiscus	102
genus	Nephrolepis	219
genus	Blechnum	591
genus	Capsicum	209
genus	Oxalis	165
genus	Juniperus	448
genus	Allium	483
genus	Impatiens	643
genus	Tradescantia	20
genus	Tecoma	528
genus	Lobelia	284
genus	Mimosa	181
genus	Mesembryanthemum	603
genus	Sagittaria	695
genus	Rubus	513
genus	Adiantum	490
genus	Antigonon	512
genus	Miconia	197
genus	Calliandra	318
genus	Cocos	266
genus	Plumeria	580
genus	Nerium	33
genus	Melia	468
genus	Agapanthus	866
genus	Halodule	852
genus	Lactuca	32
genus	Cleome	132
genus	Mirabilis	27
genus	Physalis	306
genus	Agave	873
genus	Ilex	766
genus	Selaginella	116
genus	Pontederia	162
genus	Enhalus	454
genus	Olea	711
genus	Aristolochia	371
genus	Eleocharis	465
genus	Hydrocotyle	137
genus	Araucaria	871
genus	Cucumis	144
genus	Psychotria	813
genus	Ipomoea	42
genus	Ophioglossum	892
genus	Erigeron	521
genus	Thalassia	502
genus	Sida	359
genus	Sporobolus	709
genus	Punica	352
genus	Hyptis	654
genus	Axonopus	459
genus	Silene	878
genus	Morus	82
genus	Utricularia	690
genus	Rhynchospora	884
genus	Pteris	220
genus	Spirodela	819
genus	Artemisia	305
genus	Abutilon	134
genus	Lemna	30
genus	Portulaca	28
genus	Lonicera	74
genus	Caulerpa	457
genus	Nepenthes	456
genus	Hypolytrum	786
genus	Passiflora	157
genus	Eryngium	15
genus	Viola	877
genus	Pittosporum	658
genus	Fatoua	570
genus	Flacourtia	106
genus	Commelina	145
genus	Helianthus	38
genus	Lindera	697
genus	Senna	37
genus	Bougainvillea	931
genus	Ricinus	356
genus	Amaranthus	566
genus	Lantana	180
genus	Potentilla	41
genus	Cyperus	54
genus	Justicia	126
genus	Richardia	519
genus	Sorghum	302
genus	Crassula	876
genus	Dianella	315
genus	Dicranopteris	138
genus	Lobularia	865
genus	Solanum	13
genus	Aloysia	321
genus	Lithocarpus	702
genus	Digitaria	710
genus	Tabebuia	808
genus	Echinochloa	782
genus	Salix	733
genus	Merremia	636
genus	Colubrina	647
genus	Kalanchoe	94
genus	Leonurus	408
genus	Viscum	909
genus	Dypsis	812
genus	Trimezia	224
genus	Hevea	183
genus	Bidens	499
genus	Eupatorium	283
genus	Phyla	338
genus	Cheilanthes	818
genus	Croton	682
genus	Foeniculum	879
genus	Gnetum	307
genus	Aleurites	55
genus	Hedychium	740
genus	Nymphaea	393
genus	Ulva	674
genus	Chamaecrista	754
genus	Cuscuta	564
genus	Ludwigia	334
genus	Euphorbia	149
genus	Cordyline	146
genus	Ficus	88
genus	Leptospermum	669
genus	Cymbopogon	565
genus	Halophila	451
genus	Eucalyptus	523
genus	Eragrostis	389
genus	Stenotaphrum	616
genus	Cabomba	844
genus	Lindernia	550
genus	Muehlenbeckia	115
genus	Bacopa	504
genus	Asplenium	335
genus	Boerhavia	345
genus	Melinis	515
genus	Pistia	432
genus	Cestrum	29
genus	Jacaranda	563
genus	Sophora	337
genus	Eriobotrya	847
genus	Senegalia	896
genus	Triadica	204
genus	Artocarpus	373
genus	Syzygium	23
genus	Dactyloctenium	12
genus	Porophyllum	698
genus	Plumbago	14
genus	Sesbania	46
genus	Eclipta	5
genus	Cenchrus	245
genus	Cissus	70
genus	Phoenix	923
genus	Acalypha	213
genus	Cinnamomum	190
genus	Acanthus	354
genus	Tagetes	39
genus	Imperata	360
genus	Fimbristylis	4
genus	Echinodorus	555
genus	Pancratium	436
genus	Eleusine	662
genus	Saccharum	278
genus	Hydrilla	473
genus	Salvinia	275
genus	Delosperma	875
genus	Pandanus	159
genus	Melaleuca	208
genus	Aloe	742
genus	Gossypium	288
genus	Rourea	641
genus	Desmodium	848
genus	Magnolia	167
genus	Manilkara	107
genus	Parkia	601
genus	Heliconia	440
genus	Striga	779
genus	Barleria	214
genus	Allophylus	452
genus	Pandorea	397
genus	Tephrosia	661
genus	Camellia	96
genus	Clitoria	173
genus	Indigofera	659
genus	Lygodium	31
genus	Spigelia	539
genus	Palhinhaea	205
genus	Wikstroemia	621
genus	Diospyros	57
genus	Erythrina	309
genus	Lecythis	95
genus	Andira	496
genus	Stylosanthes	514
genus	Kigelia	573
genus	Calophyllum	175
genus	Spondias	108
genus	Nypa	276
genus	Plinia	929
genus	Licania	680
genus	Eugenia	326
genus	Cecropia	773
genus	Stachytarpheta	252
genus	Ruellia	22
genus	Epiphyllum	746
genus	Pouteria	228
genus	Podocarpus	130
genus	Strychnos	683
genus	Ximenia	653
genus	Evolvulus	136
genus	Melastoma	236
genus	Canarium	270
genus	Jacquemontia	915
genus	Dioscorea	286
genus	Ceratonia	450
genus	Areca	719
genus	Mikania	289
genus	Tacca	69
genus	Nelumbo	26
genus	Jasminum	78
genus	Diplazium	839
genus	Combretum	216
genus	Chlorophytum	738
genus	Spathoglottis	394
genus	Piper	223
genus	Delonix	7
genus	Chloris	151
genus	Cassia	97
genus	Cosmos	237
genus	Burmannia	789
genus	Vitis	845
genus	Conocarpus	660
genus	Paspalum	646
genus	Dendrobium	368
genus	Durio	169
genus	Ravenala	863
genus	Bambusa	556
genus	Persicaria	40
genus	Tamarindus	370
genus	Waltheria	379
genus	Pityrogramma	668
genus	Microsorum	158
genus	Pluchea	650
genus	Allamanda	100
genus	Sansevieria	882
genus	Pentas	234
genus	Casuarina	191
genus	Annona	358
genus	Bauhinia	177
genus	Theobroma	56
genus	Vanilla	649
genus	Coffea	761
genus	Carica	479
genus	Leersia	781
genus	Cynanchum	396
genus	Cardiospermum	378
genus	Brugmansia	724
genus	Asparagus	232
genus	Buddleja	93
genus	Alocasia	431
genus	Polygala	544
genus	Epipremnum	160
genus	Alternanthera	340
genus	Trichomanes	769
genus	Thespesia	524
genus	Blumea	705
genus	Tectona	727
genus	Shorea	691
genus	Terminalia	349
genus	Smilax	172
genus	Oryza	355
genus	Pterocarpus	484
genus	Musa	260
genus	Crinum	83
genus	Avicennia	522
genus	Bignonia	101
genus	Ocimum	231
genus	Pilea	218
genus	Calotropis	313
genus	Trichosanthes	329
genus	Psidium	350
genus	Momordica	25
genus	Ammannia	610
genus	Morella	905
genus	Grewia	319
genus	Ceratophyllum	439
genus	Cordia	249
genus	Egeria	899
genus	Arachis	45
genus	Pueraria	907
genus	Eriocaulon	500
genus	Clerodendrum	80
genus	Philodendron	410
genus	Medinilla	578
genus	Erythroxylum	759
genus	Aeschynomene	706
genus	Ceiba	554
genus	Phyllanthus	58
genus	Nymphoides	387
genus	Lagerstroemia	202
genus	Catharanthus	24
genus	Calathea	222
genus	Rhizophora	460
genus	Sesuvium	455
genus	Dalbergia	182
genus	Trema	546
genus	Jacobaea	869
genus	Amorphophallus	927
genus	Laportea	676
genus	Elephantopus	380
genus	Tulbaghia	201
genus	Arundina	282
genus	Sterculia	296
genus	Lespedeza	17
genus	Sonerila	858
genus	Lindsaea	592
genus	Perilla	726
genus	Cassytha	374
genus	Jatropha	285
genus	Curcuma	442
genus	Ochna	549
genus	Sindora	602
genus	Phyllodium	430
genus	Strombosia	634
genus	Tabernaemontana	104
genus	Baphia	170
genus	Porterandia	627
genus	Millettia	409
genus	Galphimia	163
genus	Synsepalum	735
genus	Pseudobombax	880
genus	Anisophyllea	344
genus	Avrainvillea	785
genus	Kaempferia	339
genus	Costus	277
genus	Samanea	498
genus	Polyscias	242
genus	Spermacoce	376
genus	Dendrolobium	694
genus	Wodyetia	778
genus	Chassalia	385
genus	Cynometra	59
genus	Rinorea	748
genus	Cola	604
genus	Dicliptera	287
genus	Alysicarpus	535
genus	Archidendron	477
genus	Canavalia	325
genus	Dipteris	384
genus	Clausena	505
genus	Christia	893
genus	Derris	308
genus	Ixora	250
genus	Hymenaea	348
genus	Ormosia	411
genus	Ceratopteris	780
genus	Uraria	428
genus	Xylopia	714
genus	Halymenia	493
genus	Tristaniopsis	597
genus	Livistona	492
genus	Angelonia	881
genus	Adenia	598
genus	Rhodomyrtus	207
genus	Bridelia	311
genus	Sticherus	225
genus	Cajanus	605
genus	Malpighia	61
genus	Canthium	689
genus	Memecylon	203
genus	Rivina	526
genus	Elaeis	258
genus	Dorstenia	783
genus	Cyanthillium	421
genus	Macaranga	398
genus	Oldenlandia	363
genus	Tithonia	423
genus	Mecardonia	787
genus	Peltophorum	353
genus	Lasianthus	897
genus	Mucuna	509
genus	Cochlospermum	71
genus	Zinnia	826
genus	Blighia	540
genus	Acrostichum	290
genus	Carissa	168
genus	Alangium	920
genus	Syngramma	799
genus	Stenochlaena	343
genus	Isachne	912
genus	Libidibia	518
genus	Flemingia	62
genus	Agelaea	471
genus	Pyrrosia	166
genus	Taenitis	585
genus	Scleria	533
genus	Ptychosperma	264
genus	Adinandra	50
genus	Stachyphrynium	925
genus	Sacciolepis	828
genus	Pomatocalpa	854
genus	Sclerochiton	562
genus	Sphaerostephanos	914
genus	Pleocnemia	608
genus	Cyclosorus	629
genus	Maniltoa	1
genus	Cryptocoryne	542
genus	Talinum	362
genus	Whitfieldia	85
genus	Syngonium	67
genus	Phanera	357
genus	Typhonium	534
genus	Scindapsus	341
genus	Bromheadia	461
genus	Uvaria	445
genus	Adenanthera	179
genus	Mapania	886
genus	Plectocomia	414
genus	Tarenna	551
genus	Drynaria	367
genus	Heritiera	427
genus	Dieffenbachia	301
genus	Phalaenopsis	511
genus	Crescentia	823
genus	Tectaria	388
genus	Urochloa	707
genus	Coix	109
genus	Actinostachys	917
genus	Eulophia	419
genus	Argyreia	312
genus	Ficinia	732
genus	Andrographis	156
genus	Chrysopogon	712
genus	Caladium	589
genus	Rhaphidophora	758
genus	Aglaia	117
